code,related
ENGA11H3,ENGB29H3
ENGB29H3,
ENGA10H3,ENGB29H3
ENGB70H3,ENGB29H3 ENGB71H3 ENGC83H3 ENGC82H3 ENGC44H3 ENGC92H3
JMU420H1,JMU421H1
JMU421H1,
PSY100Y5,PSY220H5 PSY280H1 PSY210H5 PSY240H5 PSY270H5 PSY299Y5 PSY290H5 PSY240H1 PSY308H1 PSY220H1 PSY230H1 PSY270H1 FSC220H5 PSY299H5 PSY210H1 PSY230H5 PSY290H1 PSY201H1 PSY274H5 PSY280H5 PSY260H1
PSY220H5,PSY424H1 PSY324H5 PSY331H5 PSY336H1 PSY325H5 PSY420H5 PSY320H5 PSY327H5 PSY328H5 PSY328H1 PSY329H1 PSY321H1 PSY329H5 PSY331H1 PSY322H1 PSY321H5 PSY430H5 PSY320H1
ARC281H1,ARC382H1
ARC382H1,ARC384H1 ARC482H1
VPAB17H3,ACMC01H3
ACMC01H3,ACMD01H3
VPAB16H3,ACMC01H3 VPAB17H3 VPAC22H3 VPAC13H3 VPAC18H3
ANT101H5,ANT201H5 ANT200H5 ANT202H5 HSC402H5 ANT203H5 ANT205H5 ANT220H5
ANT201H5,ANT314H5 ANT312H5 ANT310H5 ANT313H5 ANT317H5 HSC404H5 ANT415H5 ANT318H5 ANT300H5 ANT407H5
ANT102H5,ANT201H5 ANT204H5 ANT206H5 ANT215H5 ANT207H5 ANT220H5
BIOC34H3,BIOD33H3 BIOD27H3
BIOD33H3,
PSY240H5,PSY344H5 PSY340H5 PSY333H5 PSY343H1 PSY331H5 PSY336H1 PSY328H5 PSY341H5 PSY343H5 PSY346H5 PSY321H5
PSY344H5,PSY440H5
ECE356H1,ECE557H1 ECE463H1 ECE470H1 ECE411H1
ECE557H1,
BIO153H5,BIO325H5 HSC307H5 BIO208H5 BIO318Y5 BIO203H5 BIO376H5 BIO378H5 BIO202H5 BIO205H5 BIO328H5 HSC200H5 ANT203H5 BIO354H5 BIO326H5
BIO325H5,
BIO152H5,BIO325H5 HSC307H5 BIO153H5 BIO208H5 ANT202H5 BIO318Y5 FSC370H5 BIO206H5 BIO152H5 HSC402H5 HSC300H5 BIO203H5 BIO376H5 BIO378H5 BIO202H5 BIO205H5 BIO207H5 BIO328H5 HSC200H5 HSC404H5 BIO354H5 BIO326H5 FSC314H5 ANT205H5
BIO202H5,BIO325H5 BIO310H5 BIO409H5 BIO378H5 BIO304H5 BIO320H5 BIO410H5 BIO347H5 BIO326H5 BIO408H5 BIO380H5 BIO412H5
ECE243H1,ECE344H1 ECE552H1 ECE342H1 ECE467H1
ECE344H1,ECE568H1 ECE444H1 ECE419H1
ECE244H1,ECE344H1 ECE297H1 ECE345H1 CSC309H1 ECE295H1 MIE369H1
HLTC27H3,HLTD08H3 HLTD44H3
HLTD08H3,
HLTC19H3,HLTD08H3
HLTC25H3,HLTD08H3 HLTD23H3
PHY180H1,AER210H1 AER301H1
AER210H1,AER307H1 ECE367H1 MIE520H1 AER301H1 ECE259H1
MGT225H5,MGT321H5 MGT437H5 MGT326H5 MGT420H5 MGT325H5
MGT321H5,MGT421H5 MGT420H5 MGT422H5
MGT224H5,MGT321H5 MGT322H5 MGT325H5
ENG100H5,ENG269H5 ENG234H5 ENG238H5 ENG274H5 ENG206H5 ENG237H5 ENG205H5 ENG275H5 ENG203H5 ENG279H5 ENG280H5 ENG255H5 ENG273H5 ENG289H5 ENG239H5 ENG202H5 ENG223H5 ENG215H5 ENG213H5 ENG235H5 ENG251H5 ENG204H5 ENG259H5 ENG261H5 ENG291H5 ENG211H5
ENG269H5,
NROB60H3,NROB61H3 PSYC62H3 BIOC34H3 NROC61H3 NROC69H3 NROC34H3 NROC64H3 NROC90H3 BIOC32H3 NROC36H3 NROC93H3
NROB61H3,NROC61H3 NROC69H3 NROC34H3 NROC64H3 NROC90H3 NROC36H3 NROC93H3
ANT200H5,ANT314H5 ANT312H5 ANT310H5 ANT313H5 ANT317H5 HSC404H5 ANT415H5 ANT318H5 ANT300H5 ANT407H5
ENGB71H3,
SDS255H1,SDS458H1 SDS459Y1
SDS458H1,
MDSA01H3,MDSA02H3 MDSC62H3 MDSB61H3 MDSB62H3 GASB05H3 JOUC62H3 MDSB10H3 MDSB05H3 MDSC63H3 MDSB63H3 MDSB25H3 MDSB03H3 MDSB15H3 MDSB09H3 MDSC35H3 JOUC63H3 ANTB35H3
MDSA02H3,MDSB61H3 MDSB62H3 MDSB10H3 MDSB63H3 MDSB25H3 MDSB15H3 MDSC35H3
MGEB01H3,MGEC37H3 MGEC82H3 MGEC62H3 MGEC32H3 MGEC93H3 MGEC54H3 MGEC81H3 MGEC92H3 MGEC31H3 MGEC40H3 MGEC38H3
MGEC37H3,
MGEB02H3,MGEC37H3 MGEC82H3 MGEC02H3 MGED11H3 MGEC62H3 MGEC41H3 MGSC01H3 MGEC32H3 MGED50H3 MGEC93H3 MGEC54H3 MGEC81H3 MGEC34H3 MGMC13H3 MGOC10H3 MGEC08H3 MGEC92H3 MGEC31H3 MGEC40H3 MGEC38H3 MGEC58H3
ITA200Y5,ITA421H5 ITA388H5 ITA400Y5 ITA420H5 ITA342H5 ITA371H5 ITA352H5 ITA437Y5 ITA350H5 ITA451H5 ITA399Y5 ITA373H5 ITA351H5
ITA421H5,
GGR337H5,GGR335H5 GGR437H5
GGR335H5,
GGR276H5,GGR335H5 GGR382H5 GGR304H5 GGR370H5 GGR399Y5 GGR376H5
GGR278H5,GGR335H5 GGR382H5 GGR321H5 GGR370H5 GGR399Y5 GGR322H5 GGR313H5
CCT360H5,CCT412H5 CCT460H5
CCT412H5,
CCT351H5,CCT412H5 CCT449H5
CCT357H5,CCT412H5 CCT449H5 CCT457H5
CCT305H5,CCT412H5 CCT450H5
CCT353H5,CCT412H5 CCT449H5 CCT453H5 CCT451H5
ACMB01H3,MDSC02H3 VPSC68H3 MDSC62H3 VPAC17H3 VPSC79H3 MDSC01H3 VPSC70H3 VPSC77H3 VPSC56H3 MUZC21H3 MDSC66H3 CRTC72H3 VPSC53H3 MUZC01H3 JOUC62H3 VPHC72H3 MDSC41H3 JOUC80H3 MDSC80H3 GASC41H3 JOUC31H3 VPSC55H3 MDSC63H3 VPSC66H3 VPAC22H3 MUZC22H3 JOUB01H3 VPAC13H3 MUZC80H3 VPHC75H3 VPSC54H3 MDSB15H3 JOUB02H3 VPAC18H3 MDSC35H3 VPSC69H3 JOUC63H3 VPSC51H3 MDSC65H3 VPHC49H3 MDSC40H3 GASC40H3 MDSC61H3
MDSC02H3,
CHE221H1,CHE210H1
CHE210H1,
MSE398Y1,MSE492H1 MSE493H1
MSE492H1,
PHY241H5,PHY347H5 PHY451H5 PHY324H5 JCP422H5 JCP410H5 PHY325H5
PHY347H5,CPS400Y5 JCB487Y5 CPS489Y5
PHY245H5,PHY347H5 PHY324H5 PHY351H5 JCP422H5 JCP410H5 PHY325H5 JCP321H5 PHY343H5
ARC381Y1,ARC486H1
ARC486H1,ARC487Y1 ARC457Y1 ARC462Y1
MGT260H5,MGM464H5 MGM360H5 MGM466H5 MGM365H5 MGM364H5 MGM465H5
MGM464H5,
SOC231H5,SOC325H5 SOC446H5 SOC303H5 SOC447H5 SOC491H5 SOC301H5 SOC379H5 SOC318H5 SOC350H5 SOC493H5 SOC362H5 SOC494H5 SOC421H5 SOC375H5 SOC429H5 SOC424H5 SOC378H5 SOC326H5 SOC440Y5 SOC338H5 SOC330H5 SOC405H5 SOC322H5 SOC327H5 SOC460H5 SOC345H5 SOC408H5 SOC412H5 SOC324H5 SOC346H5 SOC391H5 SOC445H5 SOC407H5 SOC402H5 SOC433H5 SOC463H5 SOC420H5 SOC371H5 SOC450H5 SOC366H5 SOC434H5 SOC465H5 SOC425H5 SOC310H5 SOC341H5 SOC454H5 SOC332H5 SOC353H5 SOC347H5 SOC448H5 SOC323H5 SOC384H5 SOC480Y5 SOC321H5 SOC344H5 SOC423H5 SOC432H5 SOC475H5 SOC329H5 SOC306H5 SOC363H5 SOC351H5 SOC403H5 SOC492H5 SOC452H5 SOC334H5 SOC387H5 SOC316H5 SOC406H5 SOC349H5 SOC444H5 SOC354H5 SOC357H5 SOC439Y5 SOC333H5
SOC325H5,
